unsorted,Gender,Brand,Collection,Item,Feature,Duty,Competitor,Color,Material,Promo,Size,URL,Location
rockyboots,,,,Boots,,,,,,Win Free,,URL,
,,Rocky,,Boots,,,,,,,,,UK
,,Rocky,,Boots,,,Amazon,,,,,,
,,Rocky,,Boots,Waterproof,Work,,,,,,,
,,Rocky,,Boots,Insulated,Work,,,,,,,
,,Rocky,,,,,,,,,,,Store
,,Rocky,,Boots,Slip On,Work,,,,,,,
,,Rocky,,Boots,Square Toe,Work,,,,,,,
,,Rocky,,Boots,,,,,,Warranty,,,
,,Rocky,,Boots,,,,,,,,,Canada
,Mens,Georgia,,Boots,,,,,,,,,
,,Georgia,,Boots,,,Amazon,,,,,,
,Womens,Georgia,Romeo,,,,,,,,,,
,,Georgia,,Boots,,,,,,,,,Portland - Oregon
,,Georgia,Romeo,Boots,,,,,,Sale,,,
register,,Georgia,,Boots,,,,,,,,URL,
for,Ladies,Georgia,,Boots,,,,,,,,,
,,Georgia,,Boots,Rain,,,,,,,,
,,Durango,,Boots,,,Amazon,,,,,,
,,Durango,,Boots,,,,,,Closeout,,,
,Womens,Durango,,,Waterproof,,,,,,,,
lehighsafetyshoes,,,,,,,,,,,,URL,
custom,,Lehigh,,Boots,,,,,,,,,
,,Lehigh,,Boots,Composite Toe,Work,,,,,,,
,,Lehigh,,Shoes,Safety,,,,,,,URL,
mta,,Lehigh,,,,,,,,,,,
review,,Lehigh,,Boots,,,,,,,,,
creations,,Creative Recreation,,,,,,,,,,,
